token_id,image_filename,metadata_filename,series,rarity,combination_fingerprint,image_sha256,metadata_sha256,approval_status,changed_in_1of1_update
28,NRA_0028.png,NRA_0028.json,Side B Records,Common,c258b0ae8c93899d0066d6329fcff09ae147e6cb9b92a26dc0c41ddfce10f22f,990650e008c7193cc6b83ca6b7f186de50ee00aec562421cb0977ab4eae2e087,329908b2905ac62d10fca1422f657f3f3161b7418b9dde7d2e1e03e911870edc,approved,no
29,NRA_0029.png,NRA_0029.json,Lucky 8 Gas & Motel,Common,81bd0eb6666ab68fccaf1d447587abbada8a48aae181b672117822e78aaf2059,fac0d21e6e0b45f99af8c8b93e5a66b1db6b4debebb9e577d6a0287f55d8a28a,ca067c77b2a888700895b88f7173d35a33a70d6432abb4534e3824bd20200036,approved,no
30,NRA_0030.png,NRA_0030.json,Night Owl Video,Common,7957cca71b67cc396b3fb39c125f347ba5a808cea3a6415fbbdf0c3ba256af31,32fa36ab15a4c09e40b85ef5626d5a52b0935e0df0c90323fba695381a047d4b,ade42b616dc1a19ebffca5385f2dfd63bb229415066cf2d9d48e831dfae12254,approved,no
31,NRA_0031.png,NRA_0031.json,Pine Hollow General Store,Common,66cd197975079a5f56e2679b80e3d77acba3b19380add19cf2e85fe336b1df94,02de772f905ed74225e7fe540e0b8cb51feb61836afdd7ad02d6ef6ca9d00d72,e3c039e39955d3ee741d889ad76df2a77720d1c33778ce738ffd5249a3b4147c,approved,no
32,NRA_0032.png,NRA_0032.json,Night Owl Video,Common,bc20b7f27f9dbb1b8ae537bdfbad575a5b077121af028157327bf216927efae1,9f138a502b96468aee90bcf81064dc8c26e603721b92a9d34481919438785002,1837763262b7c515ca514cc2b09b2c795f8fa69ee4832eb9bcedee250e71f7d0,approved,no
33,NRA_0033.png,NRA_0033.json,Token Pawn,Common,922df3cf1ae0b116d9cf7719a2d46a095a4cda9a1a1f5d2141b8acb8995e19c3,c5bd0b2ac77aad49c6f1bfe1199a299af26d6aa60fff2ac83b17fc13d37f0e2f,b13081b2bef5df9c196e84f4a8e56b1b63ac9ca27465196bfda2b5cc9a5576fa,approved,no
34,NRA_0034.png,NRA_0034.json,Lucky 8 Gas & Motel,Common,008032c75c675d396ffc161c1edb3e23b9eb0721f7bbf0c5b91ab0cd16b33380,7a34c71c8fa7cedef0aa0f05ce839f8d21f1224875e65db9545ec5fd409d4f1b,8b2ad4661c338fbed23f45eba774a46685cefcf86cf5d6bb0888d8652c15f3e8,approved,no
35,NRA_0035.png,NRA_0035.json,Side B Records,Common,e66180c6d36d2b9cb44da371eeab69b289ec7f002862b709660fae569b395965,0c27da46d71a3b792d574bdd56f13946e2b9c788dd25a712352d830cbe1f8aa8,1e9680d138c4d25a3ff3b8c4bafb295bf659a5e09d1aff55465fa227e0f8a190,approved,no
36,NRA_0036.png,NRA_0036.json,Token Pawn,Common,0c038c0adf20b62d1e41b140986ff9a503ff4613240d3be64b081b3a6cc3c907,73466422152f7c2784583ddbfd825bc4935cc97ed2e0d6cf7c6ec05953fe7e51,a2f6e037f324e469b4017fc97876d48b391e4ef14ca6c62148a9986b5d170e78,approved,no
37,NRA_0037.png,NRA_0037.json,Side B Records,Common,5b83a30a0ed63dd70500fae97295cddc23628067f2a63d26e0fd93608e96ea32,1ac07815492399588ca3ebaf0db52c0efc76e3c6c0e9ad98b3145d6eade6e385,aa54b129d3a1cf3eda53cfe487f449965c3c07d476167d680d083a4a3802d586,approved,no
38,NRA_0038.png,NRA_0038.json,Midnight Diner,Common,1bb86809d999588f8a4d461c81c67584dff645deb756ba7b445e6a6a60638b38,947ef0ec9e8af4495fb9cada8d6879b4162a894c9b313047b187ba2561449fd8,f49cfd5dcf924775911dfa4eaa2b20250870a670cfd20d94b057c9bad6624bae,approved,no
39,NRA_0039.png,NRA_0039.json,Token Pawn,Common,637ddb22810f3ab9c526d11fe2026fae4bfae7fcd4737c32674fb48361879b4b,543790e381014dcf5c44e03326620cb14fbc67ed0726d238c23743b6c114e78f,6cafdd19c79f372e286d0c7178b1f58968ac0420ccee3ab586bbbbfc41b4256e,approved,no
40,NRA_0040.png,NRA_0040.json,Midnight Diner,Common,d89b10302bb554dc254bb66ef774d7eb4f61479c0380740b0b2f57e9b725d339,f150e632fff3eae16930cb536c2d4806df1da7955ca2645db7480176aedcab9e,daebd7af7320229c1058f3daca6243fb9dd467dc407951d1892e3e8b93ed20f3,approved,no
41,NRA_0041.png,NRA_0041.json,Night Owl Video,Common,02d463acc89a0e197746342a67fccdbb8debf30ba63276365af3548a12023614,060ab28ab6f63baafcccedbb6b6279aae3c5ddb0a433f4bf7f91101118bbdb0d,84e4ce7d7bbebf17eafceba0d01faed37c82221ff17b2321ca9f86d601e93c3d,approved,no
42,NRA_0042.png,NRA_0042.json,Midnight Diner,Common,fb6b056c149560c9429caec6ba0bb8da6b9c07179c0cf31a39bb7fbb40cf88be,8bd3805ec1b263a8e53c2c28c9e8b8c8f5ec0de8bb5514b8246425347f103e0c,4d32d068f77587ec77fab89474a6a81f163ec3223db8c97de8b44d92db8853e0,approved,no
43,NRA_0043.png,NRA_0043.json,Night Owl Video,Common,5812f967aa6574fd6db501f2823fd53262b7afe5173f4f5ebf8a1228abdbaaf0,8c3f3f4e8f2e74e4de8bfa9cbf150f1038c923de1ec2ce8f81fe83e1e28bf6bf,8a562c64c4caf9d5ddc03211d75d694ccf1e18f59843a4df9fe971e1bcbd0901,approved,no
44,NRA_0044.png,NRA_0044.json,Lucky 8 Gas & Motel,Common,9adc4527a637c18e5bd26ab38bf30bc4ac29b08ca267c29de31b7d61ca7a3321,7125263c5c7485ce92a8718cd4ca3ab1e44e63a956bf29dcc1337765555deb19,c5defb8bcbcd72d5f77d2bf7754cec6e8079bbb0d55c39e4011a8545961ab64d,approved,no
45,NRA_0045.png,NRA_0045.json,Night Owl Video,Common,7ea3322b2d9de172b92330cd559217e2d28ded1cf618ae601a0da9018852c5cd,09cf1eceed7c1841f949919d21d0829d0adec1c6881b1346f1f92869413c96ae,eb0a129b20147b69048af604eea4b3069b917c56ed31f7dde053fcf6ecba1e63,approved,no
46,NRA_0046.png,NRA_0046.json,Token Pawn,Common,3ef5ddaf8f8e3a68b6535a5cdc511ad209c5a7385f02c60d8af6132eed3d2b34,69429ae64dcacca2bec4d22d7b7f688d82558c87c3214cd549f284106f7de439,465ffb8bde6669f55fc0072ffe370dd897764aceb9ff026f7d6639c0132c0874,approved,no
47,NRA_0047.png,NRA_0047.json,Midnight Diner,Common,3a9d3c47e947997784c85200c2c3ea977423c05486810c0cae82d81fe3496f7d,51f66c00489a54a6410c7fa47b3bd61809540fa95821a22b603af207ddda5ec2,d7dac4b5ad29f11653a533df32c27b757a5aacd3b4acbf75159d5d1915f3f548,approved,no
48,NRA_0048.png,NRA_0048.json,Night Owl Video,Common,4d28ab512d6fb7eff87e53ecf47ecc2878e137a6f02e0f032144479084cb89d2,b05f34ab7fde1a4e33c38e0a1a7a4fb02b9e347c972bc0b77411acf0fa234842,2a514502afc8913f59ec11ef23de8f80be1d353a8428ff2e472df0ccfeaa5ecb,approved,no
49,NRA_0049.png,NRA_0049.json,Side B Records,Common,666597769404aa689220f37ed56d019ab7ccfacdf96d7702088dbc452cb5d010,d4019317dc98790ce8a611376decbf62b3ea4fbe7c225f4455359b52d866a422,f0c514e936aba2ff0be1c085d5c05113515803aa18d99a9928b24e5898b21d8c,approved,no
50,NRA_0050.png,NRA_0050.json,Midnight Diner,Common,0039623b290baeb54652c89e49e6f16d7288a3429dc2e92199b3e32e111f1b23,109dd0813d4f9921e8851aac918cf565feb9126413d3bf318fb09172804539ea,352340c1fb4f85d2caf03d02bc2159af1321c01156040672b8642ecc76df07ee,approved,no
51,NRA_0051.png,NRA_0051.json,Side B Records,Common,bcf005fbb61ca7e6ecbed2038e3a16f62c58e2019bb1017964af8f9580dc9798,aa3f8dc745aee800d1b327be6ec3e6466365cad9d2a739f0c4a20dcb76a2365b,d57cd03f14f88ea6b4ec0a4579d78876f63f847a80c08d5d7243a163289c6bb0,approved,no
52,NRA_0052.png,NRA_0052.json,Night Owl Video,Common,c7b7e91206549fdf08b06ceccb24e3707f0eaa6da070d1855bb7e854ce24824e,076d2bcb6b5baaae65866cf36fe15ec0c6f99cb5fa3bc94a23702b970c68560e,fec285b93b46d8c62d43741cef30df69ee3eeed76b002aac2521106198949453,approved,no
53,NRA_0053.png,NRA_0053.json,Lucky 8 Gas & Motel,Common,33a2c0b8355d24102b9efcf420fa190a34762fc375540ce27026d3fbc5e589c9,9094b66f7f5d0fbb3a016d5dc185b8258496b59236580cddb0d9c113e22b0710,aaa018370aecf76958314f4e77675ec838920228a116b6f865a9bffa64dc8f1e,approved,no
54,NRA_0054.png,NRA_0054.json,Pine Hollow General Store,Common,86f93caf63486571b65647eca20d6629f7ff905123eddd0b5f616b29a3acc7cd,9f96782fde9b746f3987454b0ffd9613e7707f32ebd32df84e5c799be6292602,fd22f01f496ce491f5ecb64f8ec2ad90cad96c52daef65e869b9760b55d26878,approved,no
55,NRA_0055.png,NRA_0055.json,Pine Hollow General Store,Common,1bdfbe77510f0bd4935edabef17ee247f8e071f401c53b7faa608651d527d2f4,53ef443c3bf1d5f77ace76a095ff845dc204e0fee69aeb2074fbc9c5957e7b1f,ac22a7f4e68ec46fac808db6c1493603eae74a5bb1968bd278b770e14cec6c46,approved,no
56,NRA_0056.png,NRA_0056.json,Pine Hollow General Store,Common,7b31a085f99e40001c91c10eb1179aa5f9ed06d4fe871d92cedf1831204187aa,b301946f4fcd4e12f2a111943ccdd952e5bd8cf4262b3cb9431677b35fd4b4b8,33045030af0dbd6d7bd75fcfc5deb988ac9a051693d2758a8b591d48849a288a,approved,no
57,NRA_0057.png,NRA_0057.json,Side B Records,Common,4c63a1ec7334e2304c575077db37de2dd80fb6e21a3e8f2e13d7abb9e446998c,83e3b58ad8c90a688e0156ae54e59f86b64fe061f1b09a45ecf1f5e89d18ad29,e8ff8870b4d15cd5de45c65861d6f2535685135c80a293588ffae8d8ac4d7821,approved,no
58,NRA_0058.png,NRA_0058.json,Night Owl Video,Common,80f19829979e6502470e8f0d4121327a9e54ca84bf1164b52d5bc21074fd7a7e,71456c963c6fb8ea5ea00f55241db6fd11760896268442cfacc2e4c6220e809b,7345183a15d08cd9fbe1a8ad3f3a5ba2ebd122adcd9e03ccfbe5495357c03acb,approved,no
59,NRA_0059.png,NRA_0059.json,Midnight Diner,Common,04878eb47148d698ed7f3ed0dbcc672c72317cbcdf4713c373ea40436bea5597,74cc0e895141729e8a7245916a0d6c44cff1a09f02391a1d3ad760e3f1ced4fa,7099960677568d40960fb6c5b338310de9f6d1f39299be8aa1df5435dc1596f6,approved,no
60,NRA_0060.png,NRA_0060.json,Night Owl Video,Common,8177a09ea92197c7c220bdacca0c3aebf2052c8ec8b46cb54072d4633cb6057c,2d518d143953e75756c8b34b81603a33b23a82937efc25af1413d7294992906e,87d37c65cebbbcc97259e01693600d5bf85341c4050b37bd335e9e1481c2134b,approved,no
61,NRA_0061.png,NRA_0061.json,Night Owl Video,Common,2115381c51a7c75959b1ac1d779efc17bebe90594fe753adee7bed69956f8a84,d8f3fa02f9e3917159af7660e2039999c15f085161a026a1ad45a18f6573d3db,7ecf88dfe240426abd6b224b2d952df3625b11f92c380a7f5a4a1555b3957576,approved,no
62,NRA_0062.png,NRA_0062.json,Token Pawn,Common,53c9d3d2ce5551d54ef9070944d8b7a71b5d9612239563f774caed07f96ebdff,ac3c014904cfd30f7bf51e7efbde901390650936d98982ee13c82d79ad1c30ad,00e48299c103b573b89ab891c1867710dc7d5b7e74056f6584c98495fb9f31b3,approved,no
63,NRA_0063.png,NRA_0063.json,Midnight Diner,Common,630ce0d571b92366bf580e1560ed5c79fd463468bb26b52326d7b3dca27a77f2,9fb6a2b2735c4469f02410119f928e369440835b782dc7d372e0031afe0f2679,b0b603570d0ce789d2f21b734cc1f953aaf86642faa530cb783c2a4f2e9dce60,approved,no
64,NRA_0064.png,NRA_0064.json,Pine Hollow General Store,Common,a113bd10f0020134d6919f7b7b7c6be249f4edeacca9d40ad74b14e5b8b52cff,72baf3d6dea773f83e7003d4bfe880c128583f91ff2d1b3346c1fe45579157a2,0fefc23461ef3a26ddf3eee2a2fa85bb07a5662a0579b7b86a13025afe7a1ed4,approved,no
65,NRA_0065.png,NRA_0065.json,Midnight Diner,Common,613adbdcfcb29a4385fa4b7dd4959151a19e6444a8321cd94f8842c2abe7d6a8,d19d33cb78a60881646e7ba09c436957ca7279c969b0db7a88ca36a79c72bed5,f46e259c21d6de3c9625b72bc2b2345d4ea6b91c5bdbea791e82a63fda764d51,approved,no
66,NRA_0066.png,NRA_0066.json,Night Owl Video,Common,c92faf44b9af41bf31da804f8c710f9a1c75cd04b0a394ccb852f4e76602764e,d0c2dfa090e51dbbe22981ef3e51f4540aea2f2018b43af01508a6ecd273f31b,f60176f0a8abaa6d06054fe79c9b003ca5796517b28e7e5ccc9e16e4b6719eb0,approved,no
67,NRA_0067.png,NRA_0067.json,Lucky 8 Gas & Motel,Common,2490d3e853935918a81baea92978d9d107b87537c0977d8d2529eca02b7cf887,131945d00a060d33224eb3a52262298e4d78c16f86e755f36c9fff20f81dcda5,12a8f756f82cb994a30b17d77e1bb35cd7c250ae5f3e4bdb5266d588807695df,approved,no
68,NRA_0068.png,NRA_0068.json,Night Owl Video,Common,c94ac60d3ef787347dd6d8ec8648ab47ab486a3a1915bb6cc5f216d32f62ffbe,82e94424fb353264ccf84718529a65ade31af5c39f4d55bf5569b6b5fc8c2482,5959586d5a0c0beffbaf3aa3276ebd9aada52598f0bcb85ba03b0851bffd581c,approved,no
69,NRA_0069.png,NRA_0069.json,Night Owl Video,Common,d960dde398656e92e9a466c3c0b103ff8436daa7d78e46c18f280b2daee1e504,112784f48e8c852d4add3e20f3661088784d4e7b533e8f66c526f9aecc7c70fe,f5416163a0286169f8fffc5f6ef8f28ca6041ee840f14d146cda9599cf5ca7be,approved,no
70,NRA_0070.png,NRA_0070.json,Night Owl Video,Common,4b6fef378f0991ba259aa3ed1a2f79a90dd7fdde310cca8397028fab3a6bc09f,933a1d5a510703ce5259b7f35ccd18c2ef6b2d2e93a356971c5635cb33622c53,1093153805cb59acae1d34ad326938f005df069df20ed443bfec00b788b393bd,approved,no
71,NRA_0071.png,NRA_0071.json,Side B Records,Common,34da0418d9508c1e2f7f293308f88c319707d7e3ace03f66c11852523d0bbf6f,4ba5b1897937f5c0e3b2039df087995906afa5a711bcddc3443dc0c6d4c3371e,51e294db5ffeda4b2eb196ab8b92a39f575f11a0f1ef8cc7cd4749a4c73cf972,approved,no
72,NRA_0072.png,NRA_0072.json,Token Pawn,Common,e12ebfaa3eb42210840c959a1c7c9744e40d15c62eed5fe772d8d63caf955e9c,6a6947f99e02baf38bcb53df2147333285c1af89c14ad14bf6e62aa6d63a3638,bda2f394d2d1b057fec091ac2002e0f9703fa59fcfb7af983512f771e97c0387,approved,no
73,NRA_0073.png,NRA_0073.json,Pine Hollow General Store,Common,ceb6ca3b73be0bc9528546694426bafbd226c6c5037e88157aff93ecba786cfd,6462f4c762bc7e83371b67db93177a65dc313366c36f191de019fc41fe36ba11,ed72e870151ff5ab8add661857355e52266345bee2b2d8bc84cdee2fe7828144,approved,no
74,NRA_0074.png,NRA_0074.json,Pine Hollow General Store,Common,44cc655afd2194de09098d8545ebc8d9b9ceee6876c1c801bfe7c4c76f4bc096,dffb4a29a8732d97585999770d520527b4dcdb2983ff7870beaf5a975fd8a05f,8aba85a4a94ecb94b2cc6b45ce505d94704acd8bef7ff2d02e1ca338434f718d,approved,no
75,NRA_0075.png,NRA_0075.json,Midnight Diner,Common,ea5849c83a1568348d8eb8b5137c7e7402ea600dba1266e525252e5097694314,104b2dba59abdce9d966641766cf2f20f7c98b8bdb2bf0c4766711344ce3f018,d6c1adbe9f42393e9ceecfff63087f23f87c263ffc0601a63c13588a3c47d614,approved,no
76,NRA_0076.png,NRA_0076.json,Token Pawn,Common,4b4a2317df90f1985abe351a2b1a7e38f89aebd2b70467eabc241324fdd6dceb,17f9b6f73aa54049ef2d2b70bf8e77ab8f9679ba5c0c7711a1c7a3f8c9e2044b,a11d07c4149072892c076e7c7195a56bd83be62e6f4bdb18e1a36623e967707c,approved,no
77,NRA_0077.png,NRA_0077.json,Night Owl Video,Common,4d296d5a27883185b68511796018a57e98916fdc85a3ee985a36b4e299bed783,ca7b4d68157cd21cf8c298fe50f7d20bd9ec11fbb4cc3021a0b56c75f61a7f25,c4a5ac9de4e1a4873c45722c410c69a6331fb8fb2499fccdb1528de3660d4dfa,approved,no
78,NRA_0078.png,NRA_0078.json,Night Owl Video,Common,424c9842a5604faaf95347c85d1fe4450c6ae4113d9e2d83f6559ff72377ca85,6167e8e19260e3c88339e337959a68daedaed068b3d49ffd28eaf33adf66d116,9166dfbed2c962aa7ce2d265b8d89c766a656614e890a89fe02476cd13542318,approved,no
79,NRA_0079.png,NRA_0079.json,Side B Records,Common,dc46c81e08f3aeb232820e00d00fd9c27dacf70a908c5906f075fa1ac477eb47,7cfca648bb0910eed51b711ba7d82512c2919ea36690358df99bcc045a9120f5,a0fc6496889542332f7cca79f4237a6ba57d68b5d1032e2d4fa109014046c11d,approved,no
80,NRA_0080.png,NRA_0080.json,Midnight Diner,Common,dbcfec1b36ca3f9b0630c7ee952a48a11fa1262f8acedc9e72c5e9957ba0bcfb,179cce91940868b9de7646ad39f2a58c59475c2547764cf74a7e0a31a99a3c45,3890480f2badb51fc28a30ded48efb93bd97bdf1a6afa376df3876beef9dec3c,approved,no
81,NRA_0081.png,NRA_0081.json,Pine Hollow General Store,Common,010d2096f0f29e06ca7344933608dd4f8d18851a9620b8aeac76152827c34e46,2e0a31f20d77d9630c4c4b63be0092c35260bd03b4ce4858d693ba5b59d744c8,6ea2dd603cd43ca1383eadbdc9065d21baf0c680710ab5f6a2ec1015c4d6517f,approved,no
82,NRA_0082.png,NRA_0082.json,Side B Records,Common,99dc22b7b5124440ce7b62f259d0f2268d652329c3e1414e76b4855357e517c3,3f0f328eb2f2099b7643309227a0388b0ec3f9b9e162ed1f008ee7af1be460d4,43f9d2cf4cad471959471abcd75377fada16a3fcba584e83f26935c53471db31,approved,no
83,NRA_0083.png,NRA_0083.json,Side B Records,Common,adabb52defd5c26e9ff2a65c5c59e04b476d1a353fdeb541af25da8f282d5714,ebe2cc00e6ae902d10b328e526562013521027e0b119264358f8f7947f5d118f,5f8f8cd848460f19a973d301f216c7bc86b0129fe5e161f9671ee5235d826b82,approved,no
84,NRA_0084.png,NRA_0084.json,Lucky 8 Gas & Motel,Common,634a381265bbc44f8a80a7f81aa35c29d44c1417fb497e6d02fc52947fb5f0bc,b175d57101dd22af1b9a68b4394069e7dc5a22f8e5662f9913c562b8218a633d,deba6555fa14587b1e69b3232002b2b8113797c78fa97d62d143ecbbc4d6c322,approved,no
