trait_id,asset_type,allowed_series,allowed_rarities,minimum_usage,maximum_usage,target_usage,exclusive,conflicts_with,notes
B04_VAR_05,base_templates,Lucky 8 Gas & Motel|Midnight Diner,Common|Rare,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B04_VAR_06,base_templates,Sunset Mart,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B04_VAR_07,base_templates,Sunset Mart,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B04_VAR_08,base_templates,Side B Records,Rare,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B05_VAR_01,base_templates,Token Pawn,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B05_VAR_02,base_templates,Sunset Mart,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B05_VAR_03,base_templates,Night Owl Video,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B05_VAR_04,base_templates,Night Owl Video,Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B05_VAR_05,base_templates,Lucky 8 Gas & Motel|Token Pawn,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B05_VAR_06,base_templates,Midnight Diner,Rare,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B06_VAR_01,base_templates,Midnight Diner|Night Owl Video,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B06_VAR_02,base_templates,Lucky 8 Gas & Motel|Sunset Mart,Common|Rare,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B06_VAR_03,base_templates,Lucky 8 Gas & Motel|Token Pawn,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B06_VAR_04,base_templates,Lucky 8 Gas & Motel,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B06_VAR_05,base_templates,Side B Records|Token Pawn,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B06_VAR_06,base_templates,Midnight Diner,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B06_VAR_07,base_templates,Side B Records,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B06_VAR_08,base_templates,Night Owl Video|Token Pawn,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B06_VAR_09,base_templates,Token Pawn,Rare,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B06_VAR_10,base_templates,Midnight Diner|Side B Records,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B07_VAR_01,base_templates,Sunset Mart,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B07_VAR_02,base_templates,Token Pawn,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B07_VAR_03,base_templates,Side B Records|Sunset Mart,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B07_VAR_04,base_templates,Night Owl Video|Side B Records,Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B07_VAR_05,base_templates,Lucky 8 Gas & Motel,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B08_VAR_01,base_templates,Night Owl Video|Side B Records,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B08_VAR_02,base_templates,Night Owl Video,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B08_VAR_03,base_templates,Midnight Diner|Night Owl Video,Common|Rare,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
B08_VAR_04,base_templates,Lucky 8 Gas & Motel,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
stamp_1_of_1_gold,stamps,,,0,0,0,false,,Deprecated: blocked from 3333 plan
STAMP_AFTER_HOURS,stamps,Midnight Diner,Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
STAMP_ARCHIVED_FOREVER_GOLD,stamps,Midnight Diner,Rare|Legendary|Ultra Rare|1/1,0,30,30,false,Archive Label|Signal Trace|props,Approved final pool
STAMP_CHECKED_OUT,stamps,Night Owl Video,Common|Rare|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
STAMP_CLAIM_CLOSED,stamps,Token Pawn,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
STAMP_CLOSED,stamps,Lucky 8 Gas & Motel|Midnight Diner|Sunset Mart,Common|Rare|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
STAMP_DO_NOT_OPEN,stamps,Night Owl Video,Common|Rare|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
stamp_due_friday_red,stamps,,,0,0,0,false,,Deprecated: blocked from 3333 plan
STAMP_FINAL_SALE,stamps,Side B Records|Sunset Mart,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
stamp_genesis_gold,stamps,,,0,0,0,false,,Deprecated: blocked from 3333 plan
STAMP_GOLD_SEAL_GOLD,stamps,Lucky 8 Gas & Motel|Side B Records,Rare|Legendary|Ultra Rare|1/1,0,30,30,false,Archive Label|Signal Trace|props,Approved final pool
STAMP_LAST_COPY,stamps,Side B Records,Common|Rare|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
STAMP_LAST_ORDER,stamps,Midnight Diner,Common|Rare,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
STAMP_NO_REFUNDS,stamps,Midnight Diner|Night Owl Video|Sunset Mart,Common|Rare|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
STAMP_NO_VACANCY,stamps,Lucky 8 Gas & Motel,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
STAMP_OVERDUE,stamps,Night Owl Video,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
STAMP_PAID_CASH,stamps,Lucky 8 Gas & Motel,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
STAMP_PAWN_HOLD,stamps,Token Pawn,Common|Rare|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
stamp_redeemed_gold,stamps,,,0,0,0,false,,Deprecated: blocked from 3333 plan
stamp_returned_empty_red,stamps,,,0,0,0,false,,Deprecated: blocked from 3333 plan
STAMP_ROOM_PAID,stamps,Lucky 8 Gas & Motel,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
STAMP_STORE_CREDIT,stamps,Side B Records,Common|Rare|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
stamp_ultra_rare_gold,stamps,,,0,0,0,false,,Deprecated: blocked from 3333 plan
STAMP_UNCLAIMED,stamps,Token Pawn,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
STAMP_VAULTED_GOLD,stamps,Token Pawn,Rare|Legendary|Ultra Rare|1/1,0,30,30,false,Archive Label|Signal Trace|props,Approved final pool
STAMP_ZERO_SUPPLY_GOLD,stamps,Sunset Mart,Rare|Legendary|Ultra Rare|1/1,0,30,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_1138PM,handwritten,Lucky 8 Gas & Motel|Midnight Diner,Common|Legendary|Rare|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_30_DAYS,handwritten,Token Pawn,Common|Rare|Ultra Rare,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_512PM,handwritten,Sunset Mart,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_A_SIDE_GONE,handwritten,Side B Records,Common|Legendary|Rare,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_AISLE_3,handwritten,Sunset Mart,Common|Rare|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_BOOTH_4,handwritten,Midnight Diner,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_CASE_14,handwritten,Token Pawn,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_CLAIM_BY_5,handwritten,Token Pawn,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_DUE_FRIDAY,handwritten,Night Owl Video,Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_EXIT_22,handwritten,Lucky 8 Gas & Motel,Common|Legendary|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_FINAL_SALE,handwritten,Sunset Mart,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_HOLD_TAG,handwritten,Token Pawn,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_LAST_COPY,handwritten,Side B Records,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
note_last_night,handwritten,,,0,0,0,false,,Deprecated: blocked from 3333 plan
NOTE_LAST_ORDER,handwritten,Midnight Diner,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_LAST_SHIFT,handwritten,Sunset Mart,Common|Legendary,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_LATE_FEE,handwritten,Night Owl Video,Common|Rare|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_NO_VACANCY,handwritten,Lucky 8 Gas & Motel,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
note_paid_cash,handwritten,,,0,0,0,false,,Deprecated: blocked from 3333 plan
NOTE_REGISTER_2,handwritten,Sunset Mart,Common|Rare,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_RETURNED_EMPTY,handwritten,Night Owl Video,Common,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_REWIND,handwritten,Night Owl Video,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_ROOM_8,handwritten,Lucky 8 Gas & Motel,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
note_server_m,handwritten,,,0,0,0,false,,Deprecated: blocked from 3333 plan
NOTE_SIDE_B,handwritten,Side B Records,Rare|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_STORE_CREDIT,handwritten,Side B Records,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_TABLE_6,handwritten,Midnight Diner,Common|Rare|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_TAPE_12,handwritten,Night Owl Video,Common|Rare|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_TRACK_07,handwritten,Side B Records,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
NOTE_UNCLAIMED,handwritten,Token Pawn,Common|Uncommon,0,500,30,false,Archive Label|Signal Trace|props,Approved final pool
prop_amber_stone_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_ashtray_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_barcode_sticker_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_bottle_cap_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_bottle_opener_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_brooch_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_cameo_brooch_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_chain_fragment_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_chatelaine_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_cigar_cutter_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_cigarette_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_cloth_napkin_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_coffee_stirrer_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_compass_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_crystal_ball_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_dice_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_envelope_corner_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_filigree_collar_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_fork_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_fountain_pen_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_gas_station_token_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_gemstone_pendant_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_hair_clip_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_hand_mirror_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_jeweled_compact_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_keychain_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_magnifying_glass_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_matchbook_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_matchbook_motel_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_monocle_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_newspaper_clip_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_old_key_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_old_key_02,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_old_key_03,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_opera_glasses_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_padlock_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_pearl_earring_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_pearl_necklace_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_pocket_knife_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_pocket_mirror_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_pocket_sundial_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_pocket_watch_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_pocket_watch_02,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_powder_box_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_record_sleeve_corner_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_rosary_beads_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_safety_razor_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_shot_glass_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_signet_ring_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_small_bottle_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_small_jewelry_bag_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_snuff_box_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_sugar_packet_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_thimble_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_badge_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_barrette_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_bracelet_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_bracelet_02,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_brooch_02,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_button_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_button_02,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_coin_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_coin_02,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_coin_03,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_coin_04,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_comb_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_cufflink_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_earring_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_filigree_bracelet_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_glass_vial_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_glasses_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_hair_comb_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_hat_pin_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_lighter_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_locket_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_medal_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_pen_02,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_perfume_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_perfume_02,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_perfume_03,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_perfume_04,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_potion_bottle_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_ring_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_ring_02,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_ring_03,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_thimble_02,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_tiara_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_tie_pin_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vinyl_label_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_wax_seal_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_zippo_lighter_01,props,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_amber_stone_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_ashtray_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_barcode_sticker_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_bottle_cap_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_bottle_opener_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_brooch_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_cameo_brooch_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_chain_fragment_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_chatelaine_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_cigar_cutter_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_cigarette_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_cloth_napkin_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_coffee_stirrer_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_compass_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_crystal_ball_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_dice_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_envelope_corner_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_filigree_collar_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_fork_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_fountain_pen_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_gas_station_token_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_gemstone_pendant_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_hair_clip_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_hand_mirror_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_jeweled_compact_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_keychain_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_magnifying_glass_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_matchbook_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_matchbook_motel_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_monocle_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_newspaper_clip_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_old_key_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_old_key_02,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_old_key_03,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_opera_glasses_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_padlock_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_pearl_earring_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_pearl_necklace_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_pocket_knife_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_pocket_mirror_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_pocket_sundial_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_pocket_watch_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_pocket_watch_02,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_powder_box_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_record_sleeve_corner_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_rosary_beads_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_safety_razor_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_shot_glass_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_signet_ring_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_small_bottle_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_small_jewelry_bag_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_snuff_box_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_sugar_packet_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_thimble_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_badge_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_barrette_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
prop_vintage_bracelet_01,props_cropped,,,0,0,0,false,,Deprecated: blocked from 3333 plan
